epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,799.603,0.69392,0.39997,0.94382,0.98756,0.97436,0.99372,0.83511,0.72354,0.30906,0.93989,0.0002774,0.0002774,0.0002774
89,808.17,0.6762,0.39035,0.93489,0.97685,0.97546,0.9932,0.83596,0.71367,0.31274,0.93683,0.0002576,0.0002576,0.0002576
90,816.036,0.67454,0.38757,0.93911,0.96684,0.98262,0.99367,0.83279,0.73528,0.31774,0.95372,0.0002378,0.0002378,0.0002378
91,829.427,0.62264,0.31782,0.91333,0.97787,0.97751,0.99346,0.83301,0.72013,0.31057,0.94214,0.000218,0.000218,0.000218
92,837.7,0.62308,0.31632,0.90543,0.98225,0.97853,0.9939,0.83815,0.69999,0.30265,0.9337,0.0001982,0.0001982,0.0001982
93,848.108,0.62149,0.30877,0.90503,0.98055,0.97941,0.994,0.83903,0.70255,0.29697,0.93453,0.0001784,0.0001784,0.0001784
94,858.48,0.61976,0.31124,0.9097,0.98745,0.97035,0.9938,0.83955,0.70999,0.30602,0.93976,0.0001586,0.0001586,0.0001586
95,866.901,0.61206,0.31077,0.90876,0.98971,0.9683,0.99373,0.84359,0.70495,0.29769,0.93342,0.0001388,0.0001388,0.0001388
96,879.056,0.60667,0.30476,0.90684,0.98055,0.9792,0.99386,0.84022,0.70662,0.29616,0.93519,0.000119,0.000119,0.000119
97,926.868,0.60449,0.30518,0.90097,0.98341,0.97853,0.99385,0.83961,0.71365,0.29515,0.9379,9.92e-05,9.92e-05,9.92e-05
98,941.354,0.6027,0.3025,0.90579,0.98155,0.97909,0.9941,0.84091,0.70881,0.29277,0.93302,7.94e-05,7.94e-05,7.94e-05
99,949.356,0.59964,0.30421,0.89398,0.9875,0.97546,0.99397,0.84127,0.70462,0.29196,0.93286,5.96e-05,5.96e-05,5.96e-05
100,959.347,0.59498,0.2955,0.89395,0.98536,0.97648,0.99396,0.84159,0.71172,0.29287,0.93683,3.98e-05,3.98e-05,3.98e-05
