epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1482.86,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002476,0.002476,0.002476
78,1499.42,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002377,0.002377,0.002377
79,1516.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002278,0.002278,0.002278
80,1532.84,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002179,0.002179,0.002179
81,1549.91,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
82,1566.16,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001981,0.001981,0.001981
83,1583.06,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001882,0.001882,0.001882
84,1599.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001783,0.001783,0.001783
85,1616.49,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001684,0.001684,0.001684
86,1633.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001585,0.001585,0.001585
87,1650.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001486,0.001486,0.001486
88,1667.03,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001387,0.001387,0.001387
89,1683.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001288,0.001288,0.001288
90,1700.19,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001189,0.001189,0.001189
91,1718.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00109,0.00109,0.00109
92,1734.94,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000991,0.000991,0.000991
93,1751.46,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000892,0.000892,0.000892
94,1768.07,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000793,0.000793,0.000793
95,1784.39,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000694,0.000694,0.000694
96,1800.94,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000595,0.000595,0.000595
97,1817.17,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000496,0.000496,0.000496
98,1833.92,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000397,0.000397,0.000397
99,1850.46,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000298,0.000298,0.000298
100,1866.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000199,0.000199,0.000199
